site_id,name,address,lat,lng,org_id,org_root_id,source_created_at,source_updated_at
S256G00002,阿拉山口,,45.169068,82.570235,O194H00155,O194H00155,2025-06-16T06:25:35+00:00,2025-06-16T06:25:35+00:00
S256G00003,霍尔果斯,,44.15895,80.453129,O194H00155,O194H00155,2025-06-16T06:25:58+00:00,2025-06-16T06:25:58+00:00
S256G00004,MTLS,,49.016802,2.445931,O194H00155,O194H00155,2025-06-16T07:21:06+00:00,2025-06-16T07:47:15+00:00
S256G00006,西安陆港,,34.410689,109.066333,O194H00155,O194H00155,2025-06-16T07:33:01+00:00,2025-06-16T07:33:01+00:00
S256G00007,Duisburg,,51.453702,6.772181,O194H00155,O194H00155,2025-06-16T07:41:05+00:00,2025-06-16T07:45:43+00:00
S256G00009,Mala,,52.065656,23.640791,O194H00155,O194H00155,2025-06-16T07:50:48+00:00,2025-06-16T07:50:48+00:00
S262500002,倍爱特波兰,,49.973014,19.118848,O194H00155,O194H00155,2026-02-05T09:42:26+00:00,2026-02-05T09:42:26+00:00
S262500003,倍爱特德国,,48.304171,11.652606,O194H00155,O194H00155,2026-02-05T09:45:15+00:00,2026-02-05T09:45:15+00:00
S262600002,倍爱特匈牙利,,47.464272,18.960673,O194H00155,O194H00155,2026-02-06T11:50:31+00:00,2026-02-06T11:50:31+00:00
S263600005,倍爱特法国,,47.75842,7.518191,O194H00155,O194H00155,2026-03-06T11:54:06+00:00,2026-03-06T11:54:06+00:00
S263V00002,成都,,30.841975,104.29477,O194H00155,O194H00155,2026-03-31T10:08:44+00:00,2026-03-31T10:08:44+00:00
S264F00003,重庆站,,29.638627,106.375391,O194H00155,O194H00155,2026-04-15T09:18:40+00:00,2026-04-15T09:18:40+00:00
